objective,projected_gradient_norm
2.965584216460314,0.0005875511154607
0.0331159740154397,4.3744408889089545e-05
4.109719062858086,1.1104402822259551e-05
0.3347402885850052,5.144248900607051e-05
6.285698357586732,29.22647052564023
2.6989384828514424,0.0001311147935972
2.0741792558403627,5.589200629514173
3.952645652959565,1.341460521801691e-16
0.0465409323968388,7.799212354340883e-05
8.864701498001198,0.0036154137477018
0.0189301783767451,5.076095629080735e-05
2.6988723587893517,0.001802850309986
2.827146133480481,0.0002525316000687
0.0119975485608628,5.644522578828696e-05
2.3832047330261297,0.2691603272631709
8.230007374548345,0.0009154104284392
0.0147663005007743,2.6155387283588807e-05
2.698979982599102,0.0017991013430841
0.1484092010048875,9.713434974821088e-05
2.930279848586174,0.0003580876019604
2.872595272330964,0.0003475006203871
0.0235808015270366,1.661352327374493e-05
0.0437329663487966,0.000173356712911
8.864752753844623,0.0043286355589697
4.971224809763772,9.275920994309128e-16
0.0401130717824751,1.92568639712249e-05
2.6989203324807045,0.0001682476096342
2.6989064486674814,7.267864571669502e-05
3.84787966805478,7.910095371386817
0.0129848733730264,2.4381465387162803e-05
8.865097518729133,0.0022906464898736
0.0183080010179794,0.0348411211454822
42.74608425969589,44.71346946024765
0.0461323082885791,0.0004142878290386
0.0022185202033338,8.851993651168115e-06
1.5456029364537531,0.0059860853227489
0.0181075522679077,3.053203714490412e-05
0.012022657873515,4.92784544521346e-05
0.027038371890716,1.805587653832836e-05
2.698870924820026,0.001905340981753
2.698904709902408,0.0013832758323147
2.69890461828734,0.0003093544998916
0.0240466080037057,4.796622774733746e-06
0.0216589010802619,4.3631316548001925e-06
1.920570306497826,3.7083950448780486e-16
2.7199050101458506,0.0002068186626397
8.864697871781793,0.0032291844752474
4.785122235356536,0.0016283235403036
7.51058803547898,0.0026909824188459
12.248416083402551,5.485142311974152e-06
